seed,conference,seed_conference,team,twitter_handle,
1,east,1east,duke,dukembb,
2,east,2east,michigan state,msu_basketball,
3,east,3east,lsu,lsubasketball,
4,east,4east,virginia tech,hokiesmbb,
5,east,5east,mississippi state,hailstatembk,
6,east,6east,maryland,terrapinhoops,
7,east,7east,louisville,cardinalmbb,
8,east,8east,vcu,vcu_hoops,
9,east,9east,ucf,ucf_mbb,
10,east,10east,minnesota,gophermbb,
11,east,11east,belmont,BelmontMBB,
12,east,12east,liberty,libertymbb,
13,east,13east,saint louis,saintlouismbb,
14,east,14east,yale,yale_basketball,
15,east,15east,bradley,bradleyumbb,
16,east,16east,north dakota state,ndsumbb,
16,east,16east,ncc,nccbasketball,
1,midwest,1midwest,north carolina,unc_basketball,
2,midwest,2midwest,kentucky,kentuckymbb,
3,midwest,3midwest,houston,uhcougarmbk,
4,midwest,4midwest,kansas,kuhoops,
5,midwest,5midwest,auburn,auburnmbb,
6,midwest,6midwest,iowa state,iowahoops,
7,midwest,7midwest,wofford,woffordmbb,
8,midwest,8midwest,utah state,usubasketball,
9,midwest,9midwest,washington state,wsumenshoops,
10,midwest,10midwest,seton hall,setonhallmbb,
11,midwest,11midwest,ohio state,ohiostatehoops,
12,midwest,12midwest,north mexico state,nmstatembb,
13,midwest,13midwest,northeastern,GoNUmbasketball,
14,midwest,14midwest,georgia state,georgiastatembb,
15,midwest,15midwest,abilene christian,acu_mbb,
16,midwest,16midwest,iona,ionagaelsmbb,
1,south,1south,virginia,uvamenshoops,
2,south,2south,tennessee,vol_hoops,
3,south,3south,purdue,purduebball,
4,south,4south,kansas state,kstatembb,
5,south,5south,wisconsin,badgermbb,
6,south,6south,villanova,novambb,
7,south,7south,cincinnati,gobearcatsmbb,
8,south,8south,ole miss,olemissmbb,
9,south,9south,oklahoma,ou_mbball,
10,south,10south,iowa,cyclonembb,`
11,south,11south,saint marys,smcm_mbb,
12,south,12south,oregon,oregonmbb,
13,south,13south,uc irvine,ucimbb,
14,south,14south,old dominion,odumenshoops,
15,south,15south,colgate,ColgateMBB,
16,south,16south,g-webb,GWU_MBK,
1,west,1west,gonzaga,zagmbb,
2,west,2west,michigan,umichbball,
3,west,3west,texas tech,ttuhoopsfans,
4,west,4west,florida state,fsuhoops,
5,west,5west,marquette,marquettembb,
6,west,6west,buffalo,ubmenshoops,
7,west,7west,nevada,nevadahoops,
8,west,8west,syracuse,cuse_mbb,
9,west,9west,baylor,baylormbb,
10,west,10west,florida,gatorsmbk,
11,west,11west,arizona state,sundevilhoops,
11,west,11west,st johns university,stjohnsbball,
12,west,12west,murray state,racershoops,
13,west,13west,vermont,uvmmbb,
14,west,14west,north kentucky,nkunorsembb,
15,west,15west,montana,montanagrizbb,
16,west,16west,fairley dickinson,fdu_mbb,
